Transaction Date,Sales Revenue,Operating Costs,Marketing Spend,Region,Department,Net Profit,Cash Flow from Operations,Accounts Receivable,Accounts Payable,Total Assets,Total Liabilities
2023-01-31,120500,75300,15000,NAM,Sales,30200,25000,45000,22000,550000,280000
2023-02-28,115000,72000,14500,NAM,Marketing,28500,23000,43000,21000,552000,281000
2023-03-31,135000,80000,16000,APAC,Sales,39000,32000,48000,24000,560000,285000
2023-04-30,145000,85000,17000,APAC,Operations,43000,35000,52000,26000,565000,288000
2023-05-31,152000,88000,18000,EMEA,Sales,46000,,55000,27000,570000,290000
2023-06-30,165000,92000,19500,EMEA,Sales,53500,45000,60000,28000,578000,295000
2023-07-31,160000,90000,18500,NAM,Marketing,51500,43000,58000,27500,582000,296000
2023-08-31,155000,89000,,NAM,Operations,47000,40000,56000,26500,585000,298000
2023-09-30,175000,98000,22000,APAC,Sales,55000,48000,62000,30000,595000,305000
2023-10-31,185000,,25000,APAC,Sales,57000,50000,65000,32000,600000,310000
2023-11-30,195000,105000,28000,EMEA,Marketing,62000,55000,68000,34000,610000,315000
2023-12-31,220000,115000,32000,EMEA,Sales,73000,65000,75000,38000,625000,320000
2024-01-31,140000,82000,18000,NAM,Sales,40000,33000,50000,25000,568000,290000
2024-02-29,135000,79000,17500,NAM,Marketing,38500,31000,48000,24000,570000,291000
2024-03-31,155000,88000,20000,APAC,Sales,47000,40000,55000,27000,580000,295000
2024-04-30,162000,90000,21000,APAC,Operations,51000,43000,58000,28000,585000,298000
2024-05-31,170000,94000,22000,EMEA,Sales,54000,46000,60000,29000,590000,300000
2024-06-30,185000,100000,24000,EMEA,Sales,61000,53000,65000,31000,600000,308000
2024-07-31,180000,98000,23000,NAM,Marketing,59000,51000,63000,30000,605000,310000
24/08/2024,175000,96000,22000,NAM,Operations,57000,49000,61000,29000,610000,312000
2024-09-30,198000,108000,28000,APAC,Sales,62000,55000,68000,33000,620000,320000
2024-10-31,210000,112000,30000,APAC,Sales,68000,60000,72000,35000,630000,325000
2024-11-30,225000,118000,34000,EMEA,Marketing,73000,65000,75000,38000,640000,330000
2024-12-31,250000,128000,38000,EMEA,Sales,84000,75000,80000,42000,655000,340000
